#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"99,639,207",,"1,098,221 ",,"97,149,970",,"1,391,016","2,625","297,603","3,280","1,132,204,334","3,381,680","334,805,269 ",North America,33050,,,"4,155",
2,India,"44,660,108",,"530,486 ",,"44,113,761",,"15,861",698,"31,750",377,"901,414,928","640,832","1,406,631,776 ",Asia,"312,6522",,,11,
3,France,"36,946,904",,"157,277 ",,"36,101,330",,"688,297",869,"563,348","2,398","271,490,188","4,139,547","65,584,518 ",Europe,24170,,,"10,495",
4,Germany,"35,823,771",,"154,535 ",,"34,368,800",,"1,300,436","1,406","427,065","1,842","122,332,384","1,458,359","83,883,596 ",Europe,25431,,,"15,503",
5,Brazil,"34,892,134",,"688,419 ",,"34,067,695",,"136,020","8,318","162,023","3,197","63,776,166","296,146","215,353,593 ",South America,63133,,,632,
6,S. Korea,"25,838,239","+36,675","29,372 ",+18,"25,164,823","+29,443","644,044",346,"503,376",572,"15,804,065","307,892","51,329,899 ",Asia,"21,7483",714,0.4,"12,547",
7,UK,"23,930,041",,"194,704 ",,"23,582,989","+8,555","152,348",146,"349,354","2,842","522,526,476","7,628,357","68,497,907 ",Europe,33520,,,"2,224",
8,Italy,"23,642,011",,"179,436  ",,"23,037,464",,"425,111",238,"392,315","2,978","253,427,252","4,205,370","60,262,770 ",Europe,33360,,,"7,054",
9,Japan,"22,608,547",,"46,981 ",,"20,517,384",,"2,044,182",162,"180,026",374,"78,036,837","621,387","125,584,838 ",Asia,"62,6732",,,"16,277",
10,Russia,"21,459,284",,"390,526 ",,"20,849,598",,"219,160","2,300","147,177","2,678","273,400,000","1,875,095","145,805,947 ",Europe,73731,,,"1,503",
11,Turkey,"16,919,638",,"101,203 ",,"16,818,435",,0,,"197,747","1,183","162,743,369","1,902,052","85,561,976 ",Asia,58451,,,,
12,Spain,"13,529,643",,"115,239 ",,"13,313,832",,"100,572",339,"289,595","2,467","471,036,328","10,082,298","46,719,142 ",Europe,34050,,,"2,153",
13,Vietnam,"11,505,608",,"43,165 ",,"10,604,591",,"857,852",66,"116,273",436,"85,826,548","867,342","98,953,541 ",Asia,"92,2921",,,"8,669",
14,Australia,"10,418,986","+1,713","15,786 ",,"10,364,130",,"39,070",39,"399,673",606,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,"31,6510",66,,"1,499",
15,Argentina,"9,718,875",,"129,991 ",,"9,584,938",+267,"3,946",246,"211,233","2,825","35,716,069","776,264","46,010,234 ",South America,53541,,,86,
16,Netherlands,"8,521,729",,"22,845 ",,"8,426,348","+4,060","72,536",49,"495,120","1,327","21,107,399","1,226,358","17,211,447 ",Europe,27531,,,"4,214",
17,Taiwan,"7,863,193",,"13,151 ",,"7,170,740",,"679,302",,"329,161",551,"27,901,087","1,167,967","23,888,595 ",Asia,"31,8161",,,"28,436",
18,Iran,"7,558,078",,"144,592 ",,"7,332,819",,"80,667",101,"87,861","1,681","54,358,591","631,909","86,022,837 ",Asia,115952,,,938,
19,Mexico,"7,113,132",,"330,415 ",,"6,385,797",,"396,920","4,798","54,066","2,511","18,600,671","141,382","131,562,772 ",North America,183987,,,"3,017",
20,Indonesia,"6,517,630",,"158,807 ",,"6,322,920",,"35,903","2,771","23,349",569,"110,783,338","396,882","279,134,505 ",Asia,"431,7583",,,129,
21,Poland,"6,343,675",,"118,170 ",,"5,335,940",,"889,565","1,530","168,090","3,131","37,668,086","998,100","37,739,785 ",Europe,63191,,,"23,571",
22,Colombia,"6,310,332",,"141,850 ",,"6,138,353",,"30,129",342,"122,500","2,754","36,760,659","713,622","51,512,762 ",South America,83631,,,585,
23,Portugal,"5,520,731",,"25,228 ",,"5,477,734","+1,140","17,769",61,"544,420","2,488","45,059,939","4,443,531","10,140,570 ",Europe,24020,,,"1,752",
24,Austria,"5,462,911",,"21,036 ",,"5,392,451",,"49,424",47,"602,524","2,320","200,577,983","22,122,466","9,066,710 ",Europe,24310,,,"5,451",
25,Ukraine,"5,312,632",,"110,186 ",,"5,160,566","+2,864","41,880",,"123,000","2,551","32,603,805","754,855","43,192,122 ",Europe,83921,,,970,
26,Greece,"5,188,890",,"33,750 ",,"5,109,120","+7,670","46,020",115,"502,963","3,271","97,554,770","9,456,063","10,316,637 ",Europe,23060,,,"4,461",
27,Malaysia,"4,923,538",,"36,482 ",,"4,850,474",,"36,582",70,"148,384","1,099","65,593,148","1,976,824","33,181,072 ",Asia,79101,,,"1,102",
28,Chile,"4,786,198",,"61,789 ",,"4,706,836",,"17,573",117,"248,631","3,210","46,293,549","2,404,835","19,250,195 ",South America,43120,,,913,
29,DPRK,"4,772,813",,74 ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,"5351,225",,,,
30,Thailand,"4,692,448",,"32,955 ",,"4,649,509",,"9,984","1,496","66,960",470,"17,270,775","246,450","70,078,203 ",Asia,"152,1264",,,142,
31,Israel,"4,688,671",,"11,767 ",,"4,670,125",,"6,779",24,"502,753","1,262","41,373,364","4,436,346","9,326,000 ",Asia,27930,,,727,
32,Belgium,"4,617,315",,"32,941 ",,"4,533,266","+2,913","51,108",55,"395,715","2,823","35,962,048","3,082,036","11,668,278 ",Europe,33540,,,"4,380",
33,Canada,"4,336,860",,"46,389 ",,"4,227,699","+3,197","62,772",99,"112,973","1,208","65,722,182","1,712,031","38,388,419 ",North America,98281,,,"1,635",
34,Switzerland,"4,211,438",,"14,255 ",,"4,108,360","+5,831","88,823",73,"480,011","1,625","22,653,313","2,581,975","8,773,637 ",Europe,26150,,,"10,124",
35,Czechia,"4,161,566",,"41,648 ",,"4,114,445",,"5,473",36,"387,599","3,879","56,498,201","5,262,116","10,736,784 ",Europe,32580,,,510,
36,Peru,"4,159,951",,"217,062 ",,"3,935,437",,"7,452",44,"123,499","6,444","35,807,703","1,063,041","33,684,208 ",South America,81551,,,221,
